days,data_per_day,calls,sms,network,netflix,prime,hotstar,sony_liv,zee5,jiocinema,price
14,2,1,1,4,0,0,0,0,0,0,177
14,2,1,1,4,0,0,0,0,0,0,177
28,3,1,1,5,1,1,1,0,0,0,730
7,3,1,0,5,0,0,0,0,0,0,142
14,3,1,0,5,0,0,0,0,0,0,239
14,2,1,1,4,0,0,0,0,0,0,172
7,5,1,0,5,0,0,0,0,0,0,179
56,3,1,1,5,1,1,1,0,0,0,1028
7,3,1,0,5,0,0,0,0,0,0,167
56,3,1,1,5,1,0,0,0,0,0,855
84,2,1,1,5,1,1,1,0,0,0,1089
56,3,1,1,5,1,1,1,0,0,0,1043
84,2,1,1,5,1,1,1,0,0,0,1079
14,1,1,0,4,0,0,0,0,0,0,115
14,2,1,1,4,0,0,0,0,0,0,162
84,2,1,1,5,1,1,1,0,0,0,1084
56,4,1,1,5,1,1,1,0,0,0,1216
56,2,1,1,5,1,1,1,0,0,0,870
56,3,1,1,5,0,1,1,0,0,0,874
14,2,1,0,4,0,0,0,0,0,0,167
56,3,1,1,5,1,1,1,0,0,0,1048
7,3,1,0,5,0,0,0,0,0,0,142
28,4,1,1,5,0,0,1,0,0,0,546
14,3,1,0,5,0,0,0,0,0,0,239
7,3,1,0,5,0,0,0,0,0,0,167
14,2,1,1,4,0,0,0,0,0,0,157
56,3,1,1,5,0,1,1,0,0,0,899
56,4,1,1,5,1,1,1,0,0,0,1191
14,1,1,1,4,0,0,0,0,0,0,125
28,3,1,1,5,0,0,1,0,0,0,462
28,3,1,1,5,1,0,1,0,0,0,631
56,2,1,1,5,1,1,1,0,0,0,860
56,3,1,1,5,1,1,1,0,0,0,1028
14,2,1,0,4,0,0,0,0,0,0,157
56,2,1,1,5,1,1,1,0,0,0,875
7,3,1,0,5,0,0,0,0,0,0,157
56,3,1,1,5,1,1,1,0,0,0,1043
56,2,1,1,5,1,1,1,0,0,0,870
14,1,1,1,4,0,0,0,0,0,0,135
84,3,1,1,5,1,1,1,0,0,0,1351
14,2,1,1,4,0,0,0,0,0,0,172
84,3,1,1,5,1,1,1,0,0,0,1336
56,2,1,1,5,1,1,1,0,0,0,860
14,2,1,1,4,0,0,0,0,0,0,187
56,2,1,1,5,1,1,1,0,0,0,850
28,3,1,1,5,1,1,1,0,0,0,710
14,2,1,0,4,0,0,0,0,0,0,152
7,5,1,0,5,0,0,0,0,0,0,189
14,5,1,0,5,0,0,0,0,0,0,318
56,2,1,1,5,1,1,1,0,0,0,850
7,5,1,0,5,0,0,0,0,0,0,199
14,3,1,0,5,0,0,0,0,0,0,234
7,5,1,0,5,0,0,0,0,0,0,179
56,3,1,1,5,0,0,1,0,0,0,770
14,3,1,0,5,0,0,0,0,0,0,219
56,4,1,1,5,1,0,1,0,0,0,1092
7,3,1,0,5,0,0,0,0,0,0,147
7,5,1,0,5,0,0,0,0,0,0,189
56,2,1,1,5,1,1,1,0,0,0,880
28,4,1,1,5,1,1,1,0,0,0,814
14,3,1,0,5,0,0,0,0,0,0,224
28,4,1,1,5,1,1,1,0,0,0,814
56,2,1,1,5,1,1,1,0,0,0,855
56,3,1,1,5,1,1,1,0,0,0,1048
28,1,1,0,4,0,0,0,0,0,0,190
84,3,1,1,5,1,1,1,0,0,0,1346
14,2,1,0,4,0,0,0,0,0,0,152
14,5,1,0,5,0,0,0,0,0,0,308
7,3,1,0,5,0,0,0,0,0,0,147
7,3,1,0,5,0,0,0,0,0,0,142
14,5,1,0,5,0,0,0,0,0,0,308
28,1,1,0,4,0,0,0,0,0,0,200
56,2,1,1,5,1,1,1,0,0,0,865
28,2,1,1,4,0,0,0,0,0,0,274
14,5,1,0,5,0,0,0,0,0,0,318
7,3,1,0,5,0,0,0,0,0,0,157
56,3,1,1,5,1,1,1,0,0,0,1038
28,2,1,1,4,0,0,0,0,0,0,289
14,5,1,0,5,0,0,0,0,0,0,318
56,3,1,1,5,1,1,1,0,0,0,1038
7,3,1,0,5,0,0,0,0,0,0,157
14,2,1,1,4,0,0,0,0,0,0,172
56,4,1,1,5,1,0,1,0,0,0,1097
14,2,1,1,4,0,0,0,0,0,0,187
56,2,1,1,5,1,1,1,0,0,0,875
56,4,1,1,5,0,1,1,0,0,0,1042
56,4,1,1,5,1,1,0,0,0,0,1112
56,4,1,1,5,0,0,1,0,0,0,948
14,5,1,0,5,0,0,0,0,0,0,298
28,3,1,1,5,1,0,1,0,0,0,611
28,2,1,0,4,0,0,0,0,0,0,259
56,2,1,1,5,1,1,1,0,0,0,865
28,2,1,1,4,0,0,0,0,0,0,284
84,2,1,1,5,1,1,1,0,0,0,1084
14,5,1,0,5,0,0,0,0,0,0,323
14,3,1,0,5,0,0,0,0,0,0,224
28,1,1,1,4,0,0,0,0,0,0,190
56,3,1,1,5,0,1,0,0,0,0,805
56,4,1,1,5,0,1,1,0,0,0,1052
28,1,1,1,4,0,0,0,0,0,0,195
14,1,1,1,4,0,0,0,0,0,0,135
28,3,1,1,5,1,0,1,0,0,0,611
84,3,1,1,5,1,1,1,0,0,0,1356
14,2,1,1,4,0,0,0,0,0,0,157
14,5,1,0,5,0,0,0,0,0,0,298
14,1,1,0,4,0,0,0,0,0,0,110
14,2,1,0,4,0,0,0,0,0,0,147
28,1,1,0,4,0,0,0,0,0,0,180
84,3,1,1,5,1,1,1,0,0,0,1326
56,3,1,1,5,1,1,1,0,0,0,1028
84,3,1,1,5,1,1,1,0,0,0,1336
14,3,1,0,5,0,0,0,0,0,0,239
56,3,1,1,5,1,1,1,0,0,0,1028
84,2,1,1,5,1,1,1,0,0,0,1089
56,3,1,1,5,0,1,1,0,0,0,889
7,3,1,0,5,0,0,0,0,0,0,157
